cycleNumber,Qchg_mAh,Echg_Wh,Qdis_mAh,Edis_Wh,eta_Q,eta_E,T_mean,T_95,frac_time_Tgt40,cycle_duration,R0_ohm,domain
134,2054.57459928725,8.111935100449676,2066.92536479628,7.14233413512282,1.0,0.8804722975072732,29.505109811059906,37.837025,0.00028415311042559265,1970754.649034701,,Cell2
135,2055.76030837309,8.117022269380369,2068.48174070502,7.14145729540311,1.0,0.8798124556517041,29.41349989755351,37.470415150000015,0.00028401685064574747,1971700.1372485762,,Cell2
136,2052.2125597824,8.102719575306086,2070.89762171712,7.1415467281885,1.0,0.8813765133811536,29.345001276497694,37.572336,0.00028391122303747616,1972433.6974387842,,Cell2
137,2060.62704531532,8.134945716077159,2070.08226595893,7.14233981260731,1.0,0.8779824797714195,29.35762467737003,37.46211935000001,0.00028378931309249985,1973281.01364244,,Cell2
138,2048.80847316935,8.086808097549735,2072.1108488368,7.14236926327981,1.0,0.8832124092871593,29.478285854489165,37.809369249999996,0.0002837067683120387,1973855.14181368,,Cell2
139,2063.73470077477,8.144428198715808,2071.20923147868,7.14151161729337,1.0,0.8768585642905447,29.46205478307692,37.90734449999998,0.00028360837942139895,1974539.9079984003,,Cell2
140,2065.29883782539,8.153115305992138,2070.22690458632,7.14151956850445,1.0,0.8759252507143847,29.409722283105026,37.85993619999999,0.0002834839745796549,1975406.42020485,,Cell2
141,2057.51864052693,8.124238391124502,2070.40666933729,7.1423472045511,1.0,0.8791405250188017,29.38124127963525,37.52651334999999,0.0002833598792723198,1976271.53441113,,Cell2
142,2057.15601288445,8.122271156947662,2070.49036912272,7.14213284363667,1.0,0.8793270632841903,29.41096089497717,37.829910599999984,0.0002832404556242755,1977104.79661382,,Cell2
143,2058.77804642264,8.128562643928118,2070.67205957113,7.14159797269532,1.0,0.8785806649383403,29.486056351063826,37.500042849999986,0.00028312135243105055,1977936.5348165203,,Cell2
144,2050.55282436074,8.094876588012825,2072.6035369382,7.1414782930996,1.0,0.8822220098667037,29.652588424846627,37.831885299999996,0.00028303376709791804,1978548.6109729502,,Cell2
145,2061.66265336661,8.13687147331961,2072.65776951633,7.14222433294927,1.0,0.8777604950954752,29.721805254961833,37.85440419999998,0.00028294095387071774,1979197.6350503198,,Cell2
146,2065.77274374331,8.154930345966326,2072.4290983431,7.14239161541181,1.0,0.8758372312701177,29.67675760606061,37.74023424999999,0.0002828289801934773,1979981.21114373,,Cell2
147,2059.08116679078,8.130251257368542,2073.6425633035,7.14261594457826,1.0,0.8785233959534552,29.677185340458017,37.83939379999998,0.0002827196800005505,1980746.67723498,,Cell2
148,2061.39751987861,8.139022395072477,2074.29201754964,7.14131538190501,1.0,0.8774168487641099,29.561294578787876,37.816087749999994,0.00028258851618330005,1981666.0433445703,,Cell2
149,2061.38486438359,8.139206104337656,2073.82211281304,7.14143199277458,1.0,0.8774113717268655,29.498600919696973,37.88640474999998,0.0002824769899432931,1982448.4354378397,,Cell2
150,2812.1962535827,10.9571667728109,2073.82211281304,7.14308843655147,0.7374386158757656,0.6519101684457629,28.969520658263306,36.13987840000001,0.00025211142726240483,1983234.4175315301,,Cell2
151,2052.61184486744,8.111187814160369,2063.41311034749,7.14358300789019,1.0,0.8807073848566358,29.620554294832825,37.210073599999994,0.0002672591415420053,1983079.2695130403,,Cell2
152,2044.6772793192,8.07722877844144,2065.91234850667,7.14294656800957,1.0,0.8843313423379169,29.7536712718894,37.568386000000004,0.0002823026614604685,1983672.64358379,,Cell2
153,2055.16414940711,8.116582003407782,2066.91960392632,7.14265471081167,1.0,0.8800077061764171,29.69851221068702,37.59762019999998,0.00028220159185282027,1984383.0896684702,,Cell2
154,2056.48550575714,8.121814411692005,2066.21145549805,7.14257201470089,1.0,0.8794305868918382,29.70759565909091,37.457772649999974,0.0002820886777901859,1985177.39576316,,Cell2
155,2053.90184633673,8.112273879593792,2067.43499454237,7.14270886170168,1.0,0.8804817203803946,29.677242579027357,37.61105234999999,0.00028197846771731486,1985953.29385566,,Cell2
156,2054.42255958753,8.113698386389922,2068.71261801758,7.14242509995001,1.0,0.880292162687592,29.60926346818182,37.56759669999998,0.00028186501280698785,1986752.66995094,,Cell2
157,2055.7362510125,8.11850547277102,2069.67541053982,7.14207263292414,1.0,0.8797275135033441,29.60854525909091,37.545077899999974,0.00028174978107602664,1987565.2240478103,,Cell2
158,2056.78110534798,8.121931721341195,2070.32048005778,7.14297726817836,1.0,0.8794677809725322,29.623210062121213,37.46685889999996,0.00028163740300038713,1988358.29614235,,Cell2
159,2057.53325153093,8.124507931756678,2070.80215859565,7.14245777305037,1.0,0.8791249676958627,29.62319909228442,37.556538,0.0002815235432641644,1989162.47023822,,Cell2
160,2040.62547785079,8.053337638448609,2074.92644711778,7.14245239464727,1.0,0.8868934490648264,29.77148083281734,38.2123235,0.0002814759580380196,1989498.7502783001,,Cell2
161,2074.30234711874,8.184280950612017,2071.42557262722,7.14158104199105,0.9986131363658168,0.8725972489320526,29.717550611872145,37.92472499999997,0.00028138154643720477,1990166.2843578802,,Cell2
162,2065.20876777358,8.152806709415225,2069.08622922689,7.1420648120963,1.0,0.8760252838876119,29.70604428012048,37.642657750000005,0.0002812595795590946,1991029.3104607598,,Cell2
163,2056.92303437196,8.121642689102169,2068.37317880751,7.142475686644,1.0,0.8794373207562997,29.823203481927713,37.78092385,0.0002811385180923863,1991886.67056297,,Cell2
164,2055.44357597835,8.1158443999171,2068.99005435628,7.14272213795495,1.0,0.8800959932188831,29.84545593504531,37.85756599999998,0.0002810214594810909,1992716.3846618698,,Cell2
165,2055.98272295541,8.117586206992302,2070.50773309679,7.14146108622968,1.0,0.8797518011053815,29.810402586102725,37.94526719999999,0.0002809038625491276,1993550.61076132,,Cell2
166,2057.07706254949,8.121973029698195,2071.96176931234,7.14160708474638,1.0,0.879294607188785,29.744839245852184,37.7635424,0.0002807862130705203,1994385.9088609002,,Cell2
167,2041.16893554815,8.05437489474651,2076.47439144287,7.14246477991403,1.0,0.8867807711027609,29.91866172797527,38.37903629999998,0.0002957779755245797,1994726.17690146,,Cell2
